ticker,currency,company_name,exchange,exchange_short,timezone
XUCS.L,USD,XTRACK/SHS CL-1D USD,London Stock Exchange,LSE,Europe/London
LSPU.L,USD,MULTI UNITS LUX-LY/USD,London Stock Exchange,LSE,Europe/London
AMZ2.L,USD,LEV/ETP 2X AMAZON 20670403,London Stock Exchange,LSE,Europe/London
VDPX.L,USD,VANGUARD/SHS USD,London Stock Exchange,LSE,Europe/London
HON.L,USD,Honeywell International Inc.,London Stock Exchange,LSE,Europe/London
RUSE.L,USD,ITI FDS UC ETF/SH USD,London Stock Exchange,LSE,Europe/London
CRPA.L,USD,ISHS /SHS CL-(ACC) USD,London Stock Exchange,LSE,Europe/London
SXLF.L,USD,SSGA SPDR II/SHS USD,London Stock Exchange,LSE,Europe/London
SNOK.L,USD,ETFS FORE/SHORT NOK LONG USD,London Stock Exchange,LSE,Europe/London
SG36.L,USD,SG ISSU/COPPER X2 DLY LG PERP ETN U,London Stock Exchange,LSE,Europe/London
CWEU.L,USD,AMUNDI I.SOL.-MSCI/USD,London Stock Exchange,LSE,Europe/London
ZIUS.L,USD,BMO/SHS USD,London Stock Exchange,LSE,Europe/London
WFIN.L,USD,SSGA SPDR II/SHS USD,London Stock Exchange,LSE,Europe/London
WWTU.L,USD,UBS London/ETC Perp Othr,London Stock Exchange,LSE,Europe/London
ERNA.L,USD,ISHS IV/SHS CL-USD (ACC) USD,London Stock Exchange,LSE,Europe/London
HMCD.L,USD,HSBC ETFS/SHS USD,London Stock Exchange,LSE,Europe/London
USSC.L,USD,SSGA SPDR II/SHS USD,London Stock Exchange,LSE,Europe/London
SG49.L,USD,SG ISSU/GOLD X5 DLY SHT PERP ETN US,London Stock Exchange,LSE,Europe/London
IUCD.L,USD,ISHS V/SHS USD,London Stock Exchange,LSE,Europe/London
CXAD.L,USD,UBS London/ETC Perp Othr,London Stock Exchange,LSE,Europe/London
43KV.L,USD,BK AUDI S A L/S GDR 144A,London Stock Exchange,LSE,Europe/London
LSAA.L,USD,LIFE SETT/PAR VTG A FPD 0.01,London Stock Exchange,LSE,Europe/London
IUFS.L,USD,ISHS V/SHS USD,London Stock Exchange,LSE,Europe/London
JPMB.L,USD,JPM ETF(IR)/SHS CL-DIST USD,London Stock Exchange,LSE,Europe/London
TELW.L,USD,MULTI UNITS LUX-L.M/USD,London Stock Exchange,LSE,Europe/London
3AUL.L,USD,ETFS COMM/3X DAILY LONG GOLD,London Stock Exchange,LSE,Europe/London
LCOM.L,USD,ETFS FORE/BEARISH USD VS CMDTY,London Stock Exchange,LSE,Europe/London
LSYO.L,USD,ETFS COMM/2X DAILY LONG SOYBEAN,London Stock Exchange,LSE,Europe/London
IHYU.L,USD,ISHS II/SHS USD,London Stock Exchange,LSE,Europe/London
AIGG.L,USD,ETFS COMM/GRAINS,London Stock Exchange,LSE,Europe/London
LNOK.L,USD,ETFS FORE/LONG NOK SHORT USD,London Stock Exchange,LSE,Europe/London
MALU.L,USD,M.U.L.-LYX.MSCI MAL/EUR,London Stock Exchange,LSE,Europe/London
CATC.L,USD,CATCO REINS OPP/SH SH,London Stock Exchange,LSE,Europe/London
11KQ.L,USD,MADINET NASR HS/S ADR 144A,London Stock Exchange,LSE,Europe/London
ALUM.L,USD,ETFS COMM/ALUMINIUM,London Stock Exchange,LSE,Europe/London
IPOL.L,USD,ISHS V/SHS USD,London Stock Exchange,LSE,Europe/London
IUES.L,USD,ISHS V/SHS USD,London Stock Exchange,LSE,Europe/London
INDW.L,USD,MULTI UNITS LUX-L.M/USD,London Stock Exchange,LSE,Europe/London
2OIL.L,USD,BST/ASST BKD 20621130 WTI 2X LEV,London Stock Exchange,LSE,Europe/London
CEIA.L,USD,COMPAL ELECTRON/GDR 144A,London Stock Exchange,LSE,Europe/London
